pos,flw,flg,bl,pic,lin,cl,cz,ni,erl,erc,lt,hc,pr,fo,cs,pi,class
44,48,325,33,1,0,12,0,0,0,0,0,0,0,0,0.1111110002,0.0949850008,f
10,66,321,150,1,0,213,0,1,14.390000343,1.9700000286,0,1.5,0,0,0.2068260014,230.41285706,f
33,970,308,101,1,1,436,0,1,10.100000381,0.3000000119,0,2.5,0,0.0560000017,0.5721740127,43.56993866,f
70,86,360,14,1,0,0,1,0,0.7799999714,0.0599999987,0,0,0,0,1,5.8597989082,f
3,21,285,73,1,0,93,0,0,14.289999962,0,0.6669999957,0,0,0,0.3004939854,0.126019001,f
8,114,295,0,1,0,789,0,0.5,3.8399999142,0.4399999976,0,0.125,1.25,0.125,0.1942210048,1120.5159912,f
0,180,1300,0,1,0,0,0,0,0,0,0,0,0,0,1,0,f
28,423,978,0,1,0,570,0.1111111119,0,1.2300000191,0.1400000006,0,0.2779999971,0.1669999957,0.0560000017,0.0981549993,45.84003067,f
416,23700,1000,60,1,0,919,0,0.8330000043,0.9900000095,0.0299999993,0.6669999957,0.3889999986,0,0,0.173341006,16.401666641,f
12,61,218,0,1,0,863,0,0,10.930000305,1.3700000048,0,0,0,0,0.1636970043,51.96131897,f
217,11300,1100,169,1,1,720,0,0.0560000017,2.0299999714,0.0199999996,0.0560000017,0.8889999986,0,0,0.1898510009,74.420310974,f
27,85,627,72,1,0,141,0.722222209,0.0560000017,5.3600001335,0.1299999952,0,0.3889999986,0.3889999986,0.1669999957,0.5142470002,8.4992275238,f
0,14,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,f
0,53,145,0,0,0,0,0,0,0,0,0,0,0,0,1,0,f
119,699,2000,0,1,0,695,0,0.2779999971,1.9600000381,0.3700000048,0.2220000029,0.1110000014,0.1110000014,0,0.1148980036,111.9845047,f
1100,514,1300,29,1,0,739,0.1666666716,0.1110000014,0.8500000238,0.0199999996,0,0.3330000043,0.5559999943,0.1669999957,0.1617700011,20.126312256,f
681,1100,1800,9,1,0,749,0,0.2220000029,0.3199999928,0.0099999998,0,0.1669999957,1,0.2220000029,0.2151850015,3.9828701019,f
147,159,337,0,1,0,466,0.055555556,0,1.7100000381,0.1400000006,0,0.2779999971,0.3330000043,0.1110000014,0.1300089955,91.013923645,f
16,1100,1800,0,1,0,14,0.375,0.6880000234,4.4800000191,0.349999994,0.3129999936,0.063000001,0,0,0.1321129948,818.4598999,f
3,114,297,0,1,0,615,0,0.3330000043,6.4299998283,0,0,0,0,0,0.1019190028,30.243703842,f
59,275,499,80,1,0,339,0.1666666716,0.5,4.5900001526,0.1800000072,0.0560000017,0.5559999943,0.5559999943,0.0560000017,0.0391630009,715.8550415,f
36,1300,734,33,1,0,110,0,0.6669999957,10.159999847,0.4399999976,0.7779999971,0,0,0.1110000014,0.0241609998,794.76477051,f
8,126,587,0,1,0,575,0.25,0,7.4400000572,0.6899999976,0,0.375,1.125,0.625,0.1463029981,1657.4691162,f
62,868,673,0,1,0,248,0,0.0560000017,17.540000916,1.1699999571,0.0560000017,0.2220000029,0.0560000017,0,0.0406799987,1275.3936768,f
183,856,1800,0,1,0,630,0,0.1110000014,0.9100000262,0.150000006,0,0.2220000029,0.4440000057,0.1110000014,0.1468060017,13.011481285,f
90,241,908,50,1,0,497,0.1666666716,0.1110000014,2.1900000572,0.0700000003,0,0.0560000017,0.3330000043,0,0.1643790007,52.172763824,f
11,65,379,0,1,0,533,0,0.0909999982,7.5500001907,0.1400000006,0,0.9089999795,1.2730000019,0.1819999963,0.1035659984,15.11260128,f
193,1200,1300,50,1,0,344,0.055555556,0.0560000017,0.4799999893,0.0599999987,0,0.7220000029,0.7220000029,0.1669999957,0.0484159999,26.700416565,f
164,1100,759,0,1,0,911,0,0.2220000029,0.6700000167,0.0199999996,0,0.0560000017,0.1110000014,0,0.2013330013,69.874290466,f
115,310,1100,0,1,0,847,0,0,1.25,0.25,0,0.1669999957,0.4440000057,0.1669999957,0.209859997,18.768688202,f
113,138,365,0,1,0,8,0.722222209,0.1669999957,7.4899997711,0.1199999973,0.0560000017,0,0,0,0.5156120062,595.68328857,f
188,1200,4600,0,1,0,476,0.1111111119,0.1669999957,0.9100000262,0.2199999988,0.1110000014,0.4440000057,0.6110000014,0.1669999957,0.0708310008,37.225986481,f
41,365,997,41,1,0,776,0,0.1110000014,1.8899999857,0.1800000072,0,1.3890000582,0.4440000057,0.0560000017,0.1369650066,22.942253113,f
300,464,1400,0,1,0,657,0.055555556,0.1669999957,0.6800000072,0.0099999998,0,0.8889999986,1.6109999418,0.0560000017,0.1356340051,35.940044403,f
57,623,2500,69,1,0,400,0.277777791,0,1.7400000095,0.1199999973,0,0.3889999986,0.8889999986,0.0560000017,0.0954170004,639.38146973,f
12,295,783,29,1,0,0,1,0,3.9300000668,0.1400000006,0,0,0,0,1,0.0218519997,f
108,1200,819,62,1,0,546,0,0.1669999957,0.200000003,0.0099999998,0,1.1109999418,0.5559999943,0.1110000014,0.106261,5.6516361237,f
145,1000,772,40,1,0,333,0.6666666865,0.0560000017,0.2899999917,0,0,0.1669999957,0.5559999943,0.1110000014,0.4642440081,36.920879364,f
4,125,499,0,1,0,11,0.25,0,17.399999619,3.5999999046,0,0,0,0,0,129.60450745,f
74,769,1200,21,1,0,643,0.055555556,0.1110000014,0.4099999964,0.0399999991,0,1.2220000029,0.6110000014,0.0560000017,0.1185109988,29.113872528,f
4,707,627,62,1,0,312,0.25,0.25,1.7999999523,0.0399999991,0.25,0.75,0.75,0.25,0.0248729996,249.40541077,f
36,214,399,63,1,0,0,0,0,0,0,0,0,0,0,1,0,f
113,627,1900,156,1,0,584,0,0.2220000029,0.5199999809,0.0299999993,0,0.7220000029,1.4440000057,0.1110000014,0.1468919963,26.68302536,f
20,115,707,45,1,0,732,0.055555556,0.0560000017,3.8199999332,0.0500000007,0,0.7220000029,0.4440000057,0.1669999957,0.1653610021,134.94360352,f
1200,1900,787,89,1,1,748,0,0.4440000057,0.8999999762,0.0299999993,0.0560000017,1.6670000553,0,0,0.14745,103.7485199,f
143,767,478,157,1,0,247,0.3888888955,0.0560000017,1.0900000334,0.0099999998,0,0.3330000043,0.8330000043,0.1669999957,0.1706580073,407.31982422,f
20,176,218,0,1,0,36,0.3333333433,0.1110000014,1.6699999571,0.1299999952,0,0.2779999971,0.2220000029,0,0.1406619996,454.61004639,f
